transaction_id,customer_id,product,store,transaction_date,sales_amount,order_source,payment_method,order_state,created_date,updated_date
S8000000050,79,cap,AKL02,1/1/22,75.58,ONLINE,CARD,COMPLETED,1/1/22,1/1/22
S8000000051,13,sunglasses,WLG01,1/1/22,46.40,IN-STORE,ONLINE,PENDING,1/1/22,1/1/22
S8000000052,69,hoodie-with-pocket,BNE02,1/1/22,67.40,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000053,80,hoodie-with-zipper,PER01,1/1/22,38.63,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000054,90,long-sleeve-tee,CBR01,1/1/22,35.39,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000055,52,polo,MEL01,1/1/22,6.32,IN-STORE,CASH,PENDING,1/1/22,1/1/22
S8000000056,60,album,MEL02,1/1/22,29.35,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000057,169,single,AKL01,1/1/22,61.50,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000058,87,vneck-tee-red,AKL02,1/1/22,31.06,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000059,93,vneck-tee-green,WLG01,1/1/22,20.44,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000060,64,vneck-tee-blue,SYD01,1/1/22,22.72,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000061,89,hoodie-red,BNE02,1/1/22,80.37,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000062,169,hoodie-green,PER01,1/1/22,60.04,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000063,169,hoodie-blue,CBR01,1/1/22,45.91,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000064,41,tshirt-logo,MEL01,1/1/22,68.46,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000065,47,beanie-logo,MEL02,1/1/22,58.12,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000066,169,vneck-tee,AKL01,1/1/22,43.77,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000067,71,hoodie,AKL02,1/1/22,58.85,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000068,92,hoodie-with-logo,WLG01,1/1/22,13.66,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000069,42,tshirt,BNE02,1/1/22,45.49,IN-STORE,ONLINE,PENDING,1/1/22,1/1/22
S8000000070,51,beanie,PER01,1/1/22,5.57,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000071,32,belt,CBR01,1/1/22,20.22,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000072,15,cap,MEL01,1/1/22,65.11,ONLINE,ONLINE,PENDING,1/1/22,1/1/22
S8000000073,18,sunglasses,MEL02,1/1/22,4.83,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000074,83,hoodie-with-pocket,AKL01,1/1/22,95.32,IN-STORE,CARD,PENDING,1/1/22,1/1/22
S8000000075,169,hoodie-with-zipper,AKL02,1/1/22,0.07,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000076,16,long-sleeve-tee,WLG01,1/1/22,2.25,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000077,169,polo,SYD01,1/1/22,0.17,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000078,90,album,BNE02,1/1/22,69.24,IN-STORE,ONLINE,CANCELED,1/1/22,1/1/22
S8000000079,169,single,PER01,1/1/22,92.50,IN-STORE,CASH,CANCELED,1/1/22,1/1/22
S8000000080,24,vneck-tee-red,CBR01,1/1/22,68.92,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000081,73,vneck-tee-green,MEL01,1/1/22,51.83,IN-STORE,ONLINE,CANCELED,1/1/22,1/1/22
S8000000082,169,vneck-tee-blue,MEL02,1/1/22,6.21,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000083,50,vneck-tee,AKL01,1/1/22,83.34,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000084,1,hoodie,AKL02,1/1/22,61.14,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000085,63,hoodie-with-logo,WLG01,1/1/22,42.13,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000086,66,tshirt,BNE02,1/1/22,30.64,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000087,63,beanie,PER01,1/1/22,3.89,ONLINE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000088,60,belt,CBR01,1/1/22,13.01,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000089,63,cap,MEL01,1/1/22,36.99,ONLINE,CARD,COMPLETED,1/1/22,1/1/22
S8000000090,76,sunglasses,MEL02,1/1/22,16.77,IN-STORE,ONLINE,PENDING,1/1/22,1/1/22
S8000000091,169,hoodie-with-pocket,AKL01,1/1/22,15.11,IN-STORE,CASH,CANCELED,1/1/22,1/1/22
S8000000092,71,hoodie-with-zipper,AKL02,1/1/22,31.67,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000093,57,long-sleeve-tee,WLG01,1/1/22,57.78,IN-STORE,ONLINE,PENDING,1/1/22,1/1/22
S8000000094,169,polo,SYD01,1/1/22,68.62,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000095,6,vneck-tee,BNE02,1/1/22,18.89,IN-STORE,CARD,CANCELED,1/1/22,1/1/22
S8000000096,61,hoodie,PER01,1/1/22,48.47,ONLINE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000097,49,hoodie-with-logo,CBR01,1/1/22,97.42,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000098,19,tshirt,BNE02,1/1/22,6.16,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000099,93,beanie,PER01,1/1/22,85.61,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000100,92,belt,CBR01,1/1/22,33.70,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000101,54,cap,MEL01,1/1/22,25.38,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000102,169,sunglasses,MEL02,1/1/22,39.07,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000103,71,hoodie-with-pocket,AKL01,1/1/22,20.56,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000104,46,hoodie-with-zipper,AKL02,1/1/22,69.21,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000105,98,long-sleeve-tee,WLG01,1/1/22,67.13,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000106,169,polo,SYD01,1/1/22,76.39,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000107,169,album,BNE02,1/1/22,65.73,IN-STORE,CARD,CANCELED,1/1/22,1/1/22
S8000000108,83,single,PER01,1/1/22,85.57,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000109,169,vneck-tee-red,CBR01,1/1/22,75.63,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000110,9,vneck-tee-green,MEL01,1/1/22,3.19,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000111,89,vneck-tee-blue,MEL02,1/1/22,47.91,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000112,51,hoodie-red,AKL01,1/1/22,47.72,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000113,59,hoodie-green,AKL02,1/1/22,34.51,ONLINE,CARD,COMPLETED,1/1/22,1/1/22
S8000000114,20,hoodie-blue,WLG01,1/1/22,53.25,ONLINE,ONLINE,PENDING,1/1/22,1/1/22
S8000000115,4,tshirt-logo,BNE02,1/1/22,39.35,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000116,169,beanie-logo,PER01,1/1/22,17.21,IN-STORE,CARD,CANCELED,1/1/22,1/1/22
S8000000117,38,logo-collection,CBR01,1/1/22,45.82,IN-STORE,ONLINE,CANCELED,1/1/22,1/1/22
S8000000118,17,wp-pennant,MEL01,1/1/22,20.45,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000119,97,hoodie-blue-logo,MEL02,1/1/22,93.05,ONLINE,CARD,COMPLETED,1/1/22,1/1/22
S8000000120,73,vneck-tee,AKL01,1/1/22,27.63,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000121,169,hoodie,AKL02,1/1/22,58.61,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000122,89,hoodie-with-logo,WLG01,1/1/22,81.32,IN-STORE,CARD,COMPLETED,1/1/22,1/1/22
S8000000123,169,tshirt,SYD01,1/1/22,50.99,IN-STORE,ONLINE,COMPLETED,1/1/22,1/1/22
S8000000124,30,beanie,BNE02,1/1/22,84.78,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000125,169,belt,PER01,1/1/22,89.11,IN-STORE,CARD,PENDING,1/1/22,1/1/22
S8000000126,84,cap,CBR01,1/1/22,45.89,IN-STORE,ONLINE,CANCELED,1/1/22,1/1/22
S8000000127,169,sunglasses,MEL01,1/1/22,0.80,IN-STORE,CASH,COMPLETED,1/1/22,1/1/22
S8000000128,169,hoodie-with-pocket,MEL02,1/2/22,43.68,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000129,52,hoodie-with-zipper,AKL01,1/2/22,67.90,ONLINE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000130,169,long-sleeve-tee,AKL02,1/2/22,14.68,ONLINE,CASH,COMPLETED,1/2/22,1/2/22
S8000000131,169,polo,WLG01,1/2/22,74.16,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000132,13,album,BNE02,1/2/22,19.87,IN-STORE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000133,70,single,PER01,1/2/22,25.07,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000134,95,vneck-tee-red,CBR01,1/2/22,96.17,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000135,26,vneck-tee-green,MEL01,1/2/22,38.16,ONLINE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000136,57,vneck-tee-blue,MEL02,1/2/22,64.81,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000137,12,hoodie-red,AKL01,1/2/22,90.49,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000138,35,vneck-tee,AKL02,1/2/22,30.58,IN-STORE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000139,169,hoodie,WLG01,1/2/22,30.21,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000140,169,hoodie-with-logo,SYD01,1/2/22,71.66,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000141,13,tshirt,BNE02,1/2/22,42.95,IN-STORE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000142,169,beanie,PER01,1/2/22,73.79,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000143,169,belt,CBR01,1/2/22,26.34,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000144,169,cap,MEL01,1/2/22,81.09,IN-STORE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000145,40,sunglasses,MEL02,1/2/22,89.47,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000146,169,hoodie-with-pocket,AKL01,1/2/22,17.86,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000147,23,hoodie-with-zipper,BNE02,1/2/22,12.93,ONLINE,ONLINE,PENDING,1/2/22,1/2/22
S8000000148,98,long-sleeve-tee,PER01,1/2/22,25.01,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000149,169,polo,CBR01,1/2/22,93.86,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000150,15,album,MEL01,1/2/22,63.92,IN-STORE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000151,19,single,MEL02,1/2/22,52.96,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000152,53,vneck-tee-red,AKL01,1/2/22,80.10,IN-STORE,CARD,COMPLETED,1/2/22,1/2/22
S8000000153,19,vneck-tee-green,AKL02,1/2/22,2.35,IN-STORE,ONLINE,COMPLETED,1/2/22,1/2/22
S8000000154,169,vneck-tee-blue,WLG01,1/2/22,17.07,IN-STORE,CASH,COMPLETED,1/2/22,1/2/22
S8000000155,26,hoodie-red,SYD01,1/3/22,98.90,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000156,93,hoodie-green,BNE02,1/3/22,2.95,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000157,169,hoodie-blue,PER01,1/3/22,33.38,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000158,169,tshirt-logo,CBR01,1/3/22,43.36,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000159,52,beanie-logo,MEL01,1/3/22,6.84,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000160,51,vneck-tee,MEL02,1/3/22,83.73,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000161,38,hoodie,AKL01,1/3/22,8.33,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000162,46,hoodie-with-logo,AKL02,1/3/22,14.34,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000163,52,tshirt,WLG01,1/3/22,48.70,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000164,169,beanie,BNE02,1/3/22,86.51,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000165,169,belt,PER01,1/3/22,0.73,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000166,47,cap,CBR01,1/3/22,66.01,IN-STORE,CASH,CANCELED,1/3/22,1/3/22
S8000000167,14,sunglasses,MEL01,1/3/22,3.12,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000168,4,hoodie-with-pocket,MEL02,1/3/22,40.69,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000169,59,hoodie-with-zipper,AKL01,1/3/22,72.26,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000170,24,long-sleeve-tee,AKL02,1/3/22,15.88,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000171,169,polo,WLG01,1/3/22,29.05,ONLINE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000172,21,album,SYD01,1/3/22,10.29,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000173,13,single,BNE02,1/3/22,45.97,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000174,169,vneck-tee,PER01,1/3/22,14.39,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000175,28,hoodie,CBR01,1/3/22,91.18,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000176,3,hoodie-with-logo,MEL01,1/3/22,95.86,IN-STORE,CARD,CANCELED,1/3/22,1/3/22
S8000000177,63,tshirt,MEL02,1/3/22,39.13,IN-STORE,ONLINE,PENDING,1/3/22,1/3/22
S8000000178,41,beanie,BNE02,1/3/22,55.06,IN-STORE,CASH,CANCELED,1/3/22,1/3/22
S8000000179,24,belt,PER01,1/3/22,10.94,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000180,58,cap,CBR01,1/3/22,16.86,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000181,50,sunglasses,MEL01,1/3/22,41.48,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000182,48,hoodie-with-pocket,MEL02,1/3/22,31.54,IN-STORE,CARD,PENDING,1/3/22,1/3/22
S8000000183,41,hoodie-with-zipper,AKL01,1/3/22,63.06,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000184,10,long-sleeve-tee,AKL02,1/3/22,81.85,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000185,82,polo,WLG01,1/3/22,77.91,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000186,169,album,SYD01,1/3/22,9.04,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000187,169,single,BNE02,1/3/22,23.88,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000188,169,vneck-tee-red,PER01,1/3/22,78.23,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000189,169,vneck-tee-green,CBR01,1/3/22,39.12,IN-STORE,ONLINE,PENDING,1/3/22,1/3/22
S8000000190,169,vneck-tee-blue,MEL01,1/3/22,72.86,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000191,66,hoodie-red,MEL02,1/3/22,4.74,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000192,24,hoodie-green,AKL01,1/3/22,3.70,IN-STORE,ONLINE,COMPLETED,1/3/22,1/3/22
S8000000193,169,hoodie-blue,AKL02,1/3/22,98.56,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000194,4,tshirt-logo,WLG01,1/3/22,26.95,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000195,169,beanie-logo,BNE02,1/3/22,71.30,IN-STORE,ONLINE,CANCELED,1/3/22,1/3/22
S8000000196,70,logo-collection,PER01,1/3/22,17.67,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000197,169,wp-pennant,CBR01,1/3/22,59.31,IN-STORE,CARD,COMPLETED,1/3/22,1/3/22
S8000000198,26,hoodie-blue-logo,MEL01,1/3/22,42.33,IN-STORE,ONLINE,CANCELED,1/3/22,1/3/22
S8000000199,169,vneck-tee,MEL02,1/3/22,58.18,IN-STORE,CASH,COMPLETED,1/3/22,1/3/22
S8000000200,169,hoodie,AKL01,1/4/22,12.25,IN-STORE,CARD,COMPLETED,1/4/22,1/4/22
S8000000201,169,hoodie-with-logo,AKL02,1/4/22,91.03,IN-STORE,ONLINE,CANCELED,1/4/22,1/4/22
S8000000202,169,tshirt,WLG01,1/4/22,96.46,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000203,42,vneck-tee,SYD01,1/4/22,37.13,IN-STORE,CARD,CANCELED,1/4/22,1/4/22
S8000000204,169,hoodie,BNE02,1/4/22,89.86,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000205,49,hoodie-with-logo,PER01,1/4/22,23.38,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000206,67,tshirt,CBR01,1/4/22,2.53,IN-STORE,CARD,COMPLETED,1/4/22,1/4/22
S8000000207,169,beanie,MEL01,1/4/22,86.32,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000208,2,belt,MEL02,1/4/22,87.04,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000209,6,cap,AKL01,1/4/22,60.10,IN-STORE,CARD,PENDING,1/4/22,1/4/22
S8000000210,32,sunglasses,AKL02,1/4/22,0.82,IN-STORE,ONLINE,CANCELED,1/4/22,1/4/22
S8000000211,169,hoodie-with-pocket,WLG01,1/4/22,38.84,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000212,65,hoodie-with-zipper,BNE02,1/4/22,2.88,IN-STORE,CARD,COMPLETED,1/4/22,1/4/22
S8000000213,83,long-sleeve-tee,PER01,1/4/22,65.64,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000214,40,polo,CBR01,1/4/22,72.82,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000215,96,album,MEL01,1/4/22,58.99,IN-STORE,CARD,COMPLETED,1/4/22,1/4/22
S8000000216,169,single,MEL02,1/4/22,74.29,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000217,22,vneck-tee-red,AKL01,1/4/22,54.93,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000218,74,vneck-tee-green,AKL02,1/4/22,43.27,IN-STORE,CARD,PENDING,1/4/22,1/4/22
S8000000219,34,vneck-tee-blue,WLG01,1/4/22,6.69,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000220,23,hoodie-red,SYD01,1/4/22,89.99,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000221,169,hoodie-green,BNE02,1/4/22,86.29,IN-STORE,CARD,COMPLETED,1/4/22,1/4/22
S8000000222,169,hoodie-blue,PER01,1/4/22,55.46,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000223,169,tshirt-logo,CBR01,1/4/22,1.99,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000224,169,beanie-logo,MEL01,1/4/22,50.84,IN-STORE,CARD,COMPLETED,1/4/22,1/4/22
S8000000225,98,logo-collection,BNE02,1/4/22,16.97,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000226,75,wp-pennant,PER01,1/4/22,40.65,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000227,47,hoodie-blue-logo,CBR01,1/4/22,94.67,IN-STORE,CARD,CANCELED,1/4/22,1/4/22
S8000000228,69,vneck-tee,MEL01,1/4/22,64.50,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000229,39,hoodie,MEL02,1/4/22,31.67,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
S8000000230,34,hoodie-with-logo,AKL01,1/4/22,53.63,IN-STORE,CARD,COMPLETED,1/4/22,1/4/22
S8000000231,98,tshirt,AKL02,1/4/22,77.16,IN-STORE,ONLINE,COMPLETED,1/4/22,1/4/22
S8000000232,91,beanie,WLG01,1/4/22,9.54,IN-STORE,CASH,COMPLETED,1/4/22,1/4/22
